Index;Obj.Type;Object Id;Obj.Name;Value;Description;Datum;Uhrzeit
AI-2016;AnalogInput;2016;ZoneModule 11 Heating Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2017;AnalogInput;2017;ZoneModule 11 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2018;AnalogInput;2018;ZoneModule 11 VAV Supply 1 Actual Damper pos. % ;79;;06.12.2022;14:25:29
AI-2019;AnalogInput;2019;ZoneModule 11 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2020;AnalogInput;2020;ZoneModule 11 VAV Extract Actual Damper pos. % ;78,75999;;06.12.2022;14:25:29
AI-2100;AnalogInput;2100;ZoneModule 12 Status ;1;;06.12.2022;14:25:29
AI-2101;AnalogInput;2101;ZoneModule 12 VAV Supply 1 Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2102;AnalogInput;2102;ZoneModule 12 VAV Supply 1 Actual Flow ;143;;06.12.2022;14:25:29
AI-2103;AnalogInput;2103;ZoneModule 12 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2104;AnalogInput;2104;ZoneModule 12 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2105;AnalogInput;2105;ZoneModule 12 VAV Extract Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2106;AnalogInput;2106;ZoneModule 12 VAV Extract Actual Flow ;176;;06.12.2022;14:25:29
AI-2107;AnalogInput;2107;ZoneModule 12 Heating Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2108;AnalogInput;2108;ZoneModule 12 Cooling Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2109;AnalogInput;2109;ZoneModule 12 Room Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2110;AnalogInput;2110;ZoneModule 12 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2111;AnalogInput;2111;ZoneModule 12 Remote Setpoint Offset Actual Value ;0;;06.12.2022;14:25:29
AI-2112;AnalogInput;2112;ZoneModule 12 CO2/VOC  Actual Value ;492;;06.12.2022;14:25:29
AI-2113;AnalogInput;2113;ZoneModule 12 RH Actual Value ;5;;06.12.2022;14:25:29
AI-2114;AnalogInput;2114;ZoneModule 12 Room Temperature Actual Setpoint ;21;;06.12.2022;14:25:29
AI-2115;AnalogInput;2115;ZoneModule 12 Room Panel Air Mode ;0;;06.12.2022;14:25:29
AI-2116;AnalogInput;2116;ZoneModule 12 Heating Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2117;AnalogInput;2117;ZoneModule 12 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2118;AnalogInput;2118;ZoneModule 12 VAV Supply 1 Actual Damper pos. % ;100;;06.12.2022;14:25:29
AI-2119;AnalogInput;2119;ZoneModule 12 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2120;AnalogInput;2120;ZoneModule 12 VAV Extract Actual Damper pos. % ;88,55;;06.12.2022;14:25:29
AI-2200;AnalogInput;2200;ZoneModule 13 Status ;1;;06.12.2022;14:25:29
AI-2201;AnalogInput;2201;ZoneModule 13 VAV Supply 1 Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2202;AnalogInput;2202;ZoneModule 13 VAV Supply 1 Actual Flow ;138;;06.12.2022;14:25:29
AI-2203;AnalogInput;2203;ZoneModule 13 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2204;AnalogInput;2204;ZoneModule 13 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2205;AnalogInput;2205;ZoneModule 13 VAV Extract Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2206;AnalogInput;2206;ZoneModule 13 VAV Extract Actual Flow ;176;;06.12.2022;14:25:29
AI-2207;AnalogInput;2207;ZoneModule 13 Heating Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2208;AnalogInput;2208;ZoneModule 13 Cooling Valve Setpoint % ;19,81;;06.12.2022;14:25:29
AI-2209;AnalogInput;2209;ZoneModule 13 Room Temperature Actual Value ;20,9;;06.12.2022;14:25:29
AI-2210;AnalogInput;2210;ZoneModule 13 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2211;AnalogInput;2211;ZoneModule 13 Remote Setpoint Offset Actual Value ;-0,01;;06.12.2022;14:25:29
AI-2212;AnalogInput;2212;ZoneModule 13 CO2/VOC  Actual Value ;504;;06.12.2022;14:25:29
AI-2213;AnalogInput;2213;ZoneModule 13 RH Actual Value ;5;;06.12.2022;14:25:29
AI-2214;AnalogInput;2214;ZoneModule 13 Room Temperature Actual Setpoint ;20,99;;06.12.2022;14:25:29
AI-2215;AnalogInput;2215;ZoneModule 13 Room Panel Air Mode ;0;;06.12.2022;14:25:29
AI-2216;AnalogInput;2216;ZoneModule 13 Heating Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2217;AnalogInput;2217;ZoneModule 13 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2218;AnalogInput;2218;ZoneModule 13 VAV Supply 1 Actual Damper pos. % ;100;;06.12.2022;14:25:29
AI-2219;AnalogInput;2219;ZoneModule 13 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2220;AnalogInput;2220;ZoneModule 13 VAV Extract Actual Damper pos. % ;84,67;;06.12.2022;14:25:29
AI-2300;AnalogInput;2300;ZoneModule 14 Status ;1;;06.12.2022;14:25:29
AI-2301;AnalogInput;2301;ZoneModule 14 VAV Supply 1 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2302;AnalogInput;2302;ZoneModule 14 VAV Supply 1 Actual Flow ;0;;06.12.2022;14:25:29
AI-2303;AnalogInput;2303;ZoneModule 14 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2304;AnalogInput;2304;ZoneModule 14 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2305;AnalogInput;2305;ZoneModule 14 VAV Extract Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2306;AnalogInput;2306;ZoneModule 14 VAV Extract Actual Flow ;0;;06.12.2022;14:25:29
AI-2307;AnalogInput;2307;ZoneModule 14 Heating Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2308;AnalogInput;2308;ZoneModule 14 Cooling Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2309;AnalogInput;2309;ZoneModule 14 Room Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2310;AnalogInput;2310;ZoneModule 14 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2311;AnalogInput;2311;ZoneModule 14 Remote Setpoint Offset Actual Value ;0;;06.12.2022;14:25:29
AI-2312;AnalogInput;2312;ZoneModule 14 CO2/VOC  Actual Value ;0;;06.12.2022;14:25:29
AI-2313;AnalogInput;2313;ZoneModule 14 RH Actual Value ;0;;06.12.2022;14:25:29
AI-2314;AnalogInput;2314;ZoneModule 14 Room Temperature Actual Setpoint ;0;;06.12.2022;14:25:29
AI-2315;AnalogInput;2315;ZoneModule 14 Room Panel Air Mode ;0;;06.12.2022;14:25:29
AI-2316;AnalogInput;2316;ZoneModule 14 Heating Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2317;AnalogInput;2317;ZoneModule 14 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2318;AnalogInput;2318;ZoneModule 14 VAV Supply 1 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2319;AnalogInput;2319;ZoneModule 14 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2320;AnalogInput;2320;ZoneModule 14 VAV Extract Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2400;AnalogInput;2400;ZoneModule 15 Status ;1;;06.12.2022;14:25:29
AI-2401;AnalogInput;2401;ZoneModule 15 VAV Supply 1 Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2402;AnalogInput;2402;ZoneModule 15 VAV Supply 1 Actual Flow ;110;;06.12.2022;14:25:29
AI-2403;AnalogInput;2403;ZoneModule 15 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2404;AnalogInput;2404;ZoneModule 15 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2405;AnalogInput;2405;ZoneModule 15 VAV Extract Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2406;AnalogInput;2406;ZoneModule 15 VAV Extract Actual Flow ;175;;06.12.2022;14:25:29
AI-2407;AnalogInput;2407;ZoneModule 15 Heating Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2408;AnalogInput;2408;ZoneModule 15 Cooling Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2409;AnalogInput;2409;ZoneModule 15 Room Temperature Actual Value ;20,83;;06.12.2022;14:25:29
AI-2410;AnalogInput;2410;ZoneModule 15 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2411;AnalogInput;2411;ZoneModule 15 Remote Setpoint Offset Actual Value ;-0,02;;06.12.2022;14:25:29
AI-2412;AnalogInput;2412;ZoneModule 15 CO2/VOC  Actual Value ;506;;06.12.2022;14:25:29
AI-2413;AnalogInput;2413;ZoneModule 15 RH Actual Value ;5;;06.12.2022;14:25:29
AI-2414;AnalogInput;2414;ZoneModule 15 Room Temperature Actual Setpoint ;20,97;;06.12.2022;14:25:29
AI-2415;AnalogInput;2415;ZoneModule 15 Room Panel Air Mode ;0;;06.12.2022;14:25:29
AI-2416;AnalogInput;2416;ZoneModule 15 Heating Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2417;AnalogInput;2417;ZoneModule 15 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2418;AnalogInput;2418;ZoneModule 15 VAV Supply 1 Actual Damper pos. % ;100;;06.12.2022;14:25:29
AI-2419;AnalogInput;2419;ZoneModule 15 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2420;AnalogInput;2420;ZoneModule 15 VAV Extract Actual Damper pos. % ;81,46;;06.12.2022;14:25:29
AI-2500;AnalogInput;2500;ZoneModule 16 Status ;1;;06.12.2022;14:25:29
AI-2501;AnalogInput;2501;ZoneModule 16 VAV Supply 1 Actuator Setpoint % ;2,4;;06.12.2022;14:25:29
AI-2502;AnalogInput;2502;ZoneModule 16 VAV Supply 1 Actual Flow ;0;;06.12.2022;14:25:29
AI-2503;AnalogInput;2503;ZoneModule 16 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2504;AnalogInput;2504;ZoneModule 16 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2505;AnalogInput;2505;ZoneModule 16 VAV Extract Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2506;AnalogInput;2506;ZoneModule 16 VAV Extract Actual Flow ;0;;06.12.2022;14:25:29
AI-2507;AnalogInput;2507;ZoneModule 16 Heating Valve Setpoint % ;16,95;;06.12.2022;14:25:29
AI-2508;AnalogInput;2508;ZoneModule 16 Cooling Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2509;AnalogInput;2509;ZoneModule 16 Room Temperature Actual Value ;21,09;;06.12.2022;14:25:29
AI-2510;AnalogInput;2510;ZoneModule 16 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2511;AnalogInput;2511;ZoneModule 16 Remote Setpoint Offset Actual Value ;-0,05;;06.12.2022;14:25:29
AI-2512;AnalogInput;2512;ZoneModule 16 CO2/VOC  Actual Value ;466;;06.12.2022;14:25:29
AI-2513;AnalogInput;2513;ZoneModule 16 RH Actual Value ;5;;06.12.2022;14:25:29
AI-2514;AnalogInput;2514;ZoneModule 16 Room Temperature Actual Setpoint ;20,95;;06.12.2022;14:25:29
AI-2515;AnalogInput;2515;ZoneModule 16 Room Panel Air Mode ;0;;06.12.2022;14:25:29
AI-2516;AnalogInput;2516;ZoneModule 16 Heating Valve Actual Flow ;37;;06.12.2022;14:25:29
AI-2517;AnalogInput;2517;ZoneModule 16 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-2518;AnalogInput;2518;ZoneModule 16 VAV Supply 1 Actual Damper pos. % ;100;;06.12.2022;14:25:29
AI-2519;AnalogInput;2519;ZoneModule 16 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2520;AnalogInput;2520;ZoneModule 16 VAV Extract Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-2600;AnalogInput;2600;ZoneModule 17 Status ;1;;06.12.2022;14:25:29
AI-2601;AnalogInput;2601;ZoneModule 17 VAV Supply 1 Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2602;AnalogInput;2602;ZoneModule 17 VAV Supply 1 Actual Flow ;125;;06.12.2022;14:25:29
AI-2603;AnalogInput;2603;ZoneModule 17 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2604;AnalogInput;2604;ZoneModule 17 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2605;AnalogInput;2605;ZoneModule 17 VAV Extract Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2606;AnalogInput;2606;ZoneModule 17 VAV Extract Actual Flow ;176;;06.12.2022;14:25:29
AI-2607;AnalogInput;2607;ZoneModule 17 Heating Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2608;AnalogInput;2608;ZoneModule 17 Cooling Valve Setpoint % ;85,38;;06.12.2022;14:25:29
AI-2609;AnalogInput;2609;ZoneModule 17 Room Temperature Actual Value ;20,8;;06.12.2022;14:25:29
AI-2610;AnalogInput;2610;ZoneModule 17 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
